U00282;RD0004;KL00000001;Alicja;Kowalski;91121864066;DOK565808;22;39;51-411;816159536;alicja.kowalski47@gmail.com;1988-06-11;zwykly
U00185;RD0007;KL00000002;Jakub;Krawczyk;55216993738;DOK500567;66;;22-554;590278061;jakub.krawczyk293@gmail.com;1964-10-19;VIP
U00158;RD0005;KL00000003;Michal;Wisniewski;69924091213;DOK811572;44;;51-185;514587421;michal.wisniewski731@gmail.com;1958-12-25;staly
U00328;RD0003;KL00000004;Tomasz;Wojcik;45752243189;DOK493754;31;;40-770;820514415;tomasz.wojcik601@gmail.com;1971-02-04;firmowy
U00395;RD0002;KL00000005;Adam;Nowicka;15451548439;DOK433799;119;5;71-029;718771560;adam.nowicka649@gmail.com;1970-11-27;zwykly
U00601;RD0002;KL00000006;Michal;Pawlak;98281796275;DOK923356;33;;62-456;545047954;michal.pawlak867@gmail.com;1998-04-07;nowy
U00383;RD0009;KL00000007;Pawel;Kowalczyk;35706705208;DOK920011;63;28;81-462;522436953;pawel.kowalczyk2@gmail.com;1986-08-14;nowy
U00172;RD0001;KL00000008;Julia;Wieczorek;78383656314;DOK386578;154;;97-389;688666057;julia.wieczorek863@gmail.com;1998-01-08;VIP
U00289;RD0001;KL00000009;Mateusz;Nowicka;89603307358;DOK173332;77;;99-125;574974166;mateusz.nowicka743@gmail.com;1992-11-13;staly
U00626;RD0009;KL00000010;Karolina;Lewandowski;97370953130;DOK374056;116;;94-329;683411105;karolina.lewandowski216@gmail.com;1986-04-16;nowy
U00137;RD0001;KL00000011;Jakub;Kowalski;77039228618;DOK104487;3;27;81-916;873925190;jakub.kowalski721@gmail.com;1988-04-10;firmowy
U00665;RD0002;KL00000012;Weronika;Wisniewski;12313481256;DOK972503;172;;25-361;702065566;weronika.wisniewski848@gmail.com;1995-12-02;staly
U00009;RD0002;KL00000013;Tomasz;Kaminska;59231889557;DOK302365;114;;12-776;650932924;tomasz.kaminska697@gmail.com;2003-04-06;staly
U00629;RD0005;KL00000014;Pawel;Wisniewski;41014593127;DOK617795;93;;73-926;877982730;pawel.wisniewski724@gmail.com;1996-03-28;VIP
U00654;RD0007;KL00000015;Jan;Lewandowski;88500609999;DOK624629;127;;34-675;896648191;jan.lewandowski580@gmail.com;2000-09-28;nowy
